accuracy,latency,energy,avg energy edge (J),avg latency edge (ms),avg latency cloud (ms),avg latency transfer (ms),avg energy cloud (J),avg energy cloud gpu (J),utilization cloud cpu (%),utilization cloud gpu (%),utilization edge cpu (%),tensor size (KB),cpu-freq,layer,edge-accelerator,server-accelerator
0.699,186.928416355,91.48624263457394,0.4688781326208114,76.35454462199999,99.522917,11.050954732999998,91.01736450195312,6.778214931488037,1.7000000476837158,10.696000099182129,38.4,591.021484375,600,3,off,True
0.699,185.148172224,90.65488993977577,0.4637278304007769,76.04511756800001,98.39018,10.712874655999997,90.191162109375,6.718716144561768,1.7999999523162842,10.82800006866455,38.4,591.021484375,600,3,off,True
0.699,187.08447588800001,90.933865041246,0.4670605368514657,75.73932894400001,98.624401,12.720745944,90.46680450439453,6.735803127288818,1.7000000476837158,10.803999900817871,38.3,591.021484375,600,3,off,True
0.699,940.057486109,90.55628685445,3.2824984023015493,831.23850937,96.105138,12.713838739000053,87.27378845214844,6.432030200958252,1.7000000476837158,9.479000091552734,25.6,591.021484375,1400,6,off,True
0.699,933.9643070440001,90.52961832915588,3.2745981875543237,827.371259719,96.023783,10.569264325000049,87.25502014160156,6.421205997467041,1.7999999523162842,9.458000183105469,25.6,591.021484375,1400,6,off,True
0.699,934.7576355900001,88.35449978379782,3.277572598739231,830.516887955,93.706232,10.534515635000048,85.0769271850586,6.276394844055176,1.7000000476837158,9.687000274658203,25.6,591.021484375,1400,6,off,True
0.699,199.55387031,90.30144222859452,0.5754824507624865,38.608322886,97.916577,63.02897042400001,89.72595977783203,6.674293041229248,1.7000000476837158,10.885000228881836,38.2,591.021484375,1400,4,off,True
0.699,150.17217011000002,90.35450880823616,0.4433759957361578,38.328146389,97.948443,13.89558072100003,89.9111328125,6.6760640144348145,1.7000000476837158,10.887999534606934,38.4,591.021484375,1400,4,off,True
0.699,3313.936318957,87.2440607190498,11.280208790338863,3219.173084243,84.196739,10.566495713999743,75.96385192871094,5.3187150955200195,1.7000000476837158,5.938000202178955,25.2,591.021484375,1200,11,off,True
0.699,3315.6520420489996,85.88435961638633,11.29451586638633,3222.153823332,82.517585,10.980633716999876,74.58984375,5.235986232757568,1.7000000476837158,6.015999794006348,25.2,591.021484375,1200,11,off,True
0.699,1126.0813299289998,89.12776495829317,4.720767277629113,1007.485720138,92.90636,25.68924979099978,84.40699768066406,6.138213157653809,1.7000000476837158,8.916999816894531,25.4,591.021484375,1800,7,off,True
0.699,1112.7557935139998,90.84566483326775,4.69199356861931,1006.333548984,94.674795,11.747449529999827,86.15367126464844,6.237796783447266,1.7000000476837158,8.722000122070312,25.5,591.021484375,1800,7,off,True
0.699,4033.983040666,82.57233905323663,17.43429278858819,3930.112913831,72.997958,30.872168835000068,65.13804626464844,4.29618501663208,1.7000000476837158,0.0,25.1,591.021484375,1800,17,off,False
0.699,4000.009090737,82.69989148245256,17.331818972686936,3916.223216167,72.957699,10.828175570000028,65.36807250976562,4.293208122253418,1.7000000476837158,0.0,25.1,591.021484375,1800,17,off,False
0.699,141.55928067,90.53275554865536,0.4686457464092612,32.330615166,98.725872,10.502793503999996,90.0641098022461,6.676778793334961,1.7000000476837158,10.788999557495117,38.2,591.021484375,1800,3,off,True
0.699,140.467092356,89.49974131368197,0.46384501241242887,32.117566085,98.151622,10.197904270999999,89.03589630126953,6.656578063964844,1.7999999523162842,10.854999542236328,38.5,591.021484375,1800,3,off,True
